HSA ID,HSA Name,Number of Medicare beneficiaries (Part B eligible (2014),,,Average annual percent of Medicare enrollees having at least one ambulatory visit to a primary care clinician (2014),,,,,,,,,Number of diabetic Medicare enrollees age 65-75 (2014),,,Average annual percent of diabetic Medicare enrollees age 65-75 having hemoglobin A1c test (2014),,,,,,,,,Average annual percent of diabetic Medicare enrollees age 65-75 having eye examination (2014),,,,,,,,,Average annual percent of diabetic Medicare enrollees age 65-75 having blood lipids (LDL-C) test (2014),,,,,,,,,Number of female Medicare enrollees age 67-69 (2014),,,Average percent of female Medicare enrollees age 67-69 having at least one mammogram over a two-year period (2014),,,,,,,,,Number of Medicare beneficiaries (Part A eligible) (2014),,,"Leg amputations per 1,000 Medicare enrollees (2014)",,,,,,,,,"Discharges for ambulatory care sensitive conditions per 1,000 Medicare enrollees (2014)",,,,,,,,
,,Overall,Black,White,Overall,,,Black,,,White,,,Overall,Black,White,Overall,,,Black,,,White,,,Overall,,,Black,,,White,,,Overall,,,Black,,,White,,,Overall,Black,White,Overall,,,Black,,,White,,,Overall,Black,White,Overall,,,Black,,,White,,,Overall,,,Black,,,White,,
,,,,,Rate,Lower confidence limit,Upper confidence limit,Rate,Lower confidence limit,Upper confidence limit,Rate,Lower confidence limit,Upper confidence limit,,,,Rate,Lower confidence limit,Upper confidence limit,Rate,Lower confidence limit,Upper confidence limit,Rate,Lower confidence limit,Upper confidence limit,Rate,Lower confidence limit,Upper confidence limit,Rate,Lower confidence limit,Upper confidence limit,Rate,Lower confidence limit,Upper confidence limit,Rate,Lower confidence limit,Upper confidence limit,Rate,Lower confidence limit,Upper confidence limit,Rate,Lower confidence limit,Upper confidence limit,,,,Rate,Lower confidence limit,Upper confidence limit,Rate,Lower confidence limit,Upper confidence limit,Rate,Lower confidence limit,Upper confidence limit,,,,Rate,Lower confidence limit,Upper confidence limit,Rate,Lower confidence limit,Upper confidence limit,Rate,Lower confidence limit,Upper confidence limit,Rate,Lower confidence limit,Upper confidence limit,Rate,Lower confidence limit,Upper confidence limit,Rate,Lower confidence limit,Upper confidence limit
1001,AL-Alabaster,7810.00,481.00,7329.00,81.41,79.41,83.42,76.61,68.70,84.51,81.84,79.77,83.91,1158.00,108.00,1050.00,87.05,81.67,92.42,81.48,64.46,98.51,87.62,81.96,93.28,67.44,62.71,72.17,55.56,41.50,69.61,68.67,63.65,73.68,84.37,79.08,89.66,83.33,66.12,100.55,84.48,78.92,90.04,815.00,58.00,757.00,62.94,57.50,68.39,56.90,37.48,76.31,63.41,57.74,69.08,8386.00,505.00,7881.00,,,,,,,,,,55.52,50.27,60.78,58.91,36.69,81.13,54.96,49.59,60.34
1002,AL-Alexander City,3083.00,523.00,2560.00,84.77,81.52,88.03,81.89,74.15,89.63,84.51,80.96,88.06,446.00,111.00,335.00,79.82,71.53,88.11,81.08,64.33,97.83,79.40,69.86,88.95,63.23,55.85,70.61,58.56,44.32,72.79,64.78,56.16,73.39,69.73,61.98,77.48,65.77,50.68,80.85,71.04,62.02,80.07,309.00,65.00,244.00,59.87,51.24,68.50,52.31,34.73,69.89,61.89,52.01,71.76,3168.00,537.00,2631.00,,,,,,,,,,64.82,56.13,73.50,89.31,64.30,114.32,62.16,52.68,71.65
1003,AL-Andalusia,4109.00,360.00,3749.00,87.77,84.91,90.63,84.41,74.97,93.85,87.99,84.99,90.99,646.00,88.00,558.00,79.26,72.39,86.12,72.73,54.91,90.55,80.29,72.85,87.72,65.02,58.80,71.23,62.50,45.98,79.02,65.41,58.70,72.12,77.71,70.91,84.51,68.18,50.93,85.43,79.21,71.83,86.60,376.00,32.00,344.00,59.84,52.02,67.66,68.75,40.02,97.48,59.01,50.89,67.13,4224.00,364.00,3860.00,,,,,,,,,,92.03,82.95,101.10,-138.71,-100.26,-177.16,87.97,78.69,97.26
1004,AL-Anniston,13287.00,1660.00,11627.00,83.70,82.14,85.26,80.89,76.57,85.21,83.68,82.02,85.34,2050.00,399.00,1651.00,81.07,77.18,84.97,79.95,71.18,88.72,81.34,76.99,85.70,58.78,55.46,62.10,60.15,52.54,67.76,58.45,54.76,62.14,78.63,74.80,82.47,71.93,63.61,80.25,80.25,75.93,84.58,1285.00,188.00,1097.00,55.95,51.86,60.04,58.51,47.58,69.45,55.52,51.11,59.92,14071.00,1734.00,12337.00,-0.72,-0.29,-1.14,,,,,,,71.73,67.29,76.18,78.66,65.49,91.83,72.06,67.26,76.87
1006,AL-Ashland,1728.00,165.00,1563.00,77.79,73.64,81.95,75.61,62.30,88.92,77.88,73.51,82.25,236.00,33.00,203.00,87.71,75.76,99.66,93.94,60.87,127.01,86.70,73.89,99.51,57.20,47.55,66.85,54.55,29.35,79.74,57.64,47.19,68.08,79.24,67.88,90.59,87.88,55.89,119.86,77.83,65.70,89.97,175.00,,,54.86,43.88,65.83,,,,,,,1762.00,163.00,1599.00,,,,,,,,,,83.84,70.38,97.30,,,,,,
1007,AL-Athens,7604.00,510.00,7094.00,81.85,79.82,83.88,80.38,72.61,88.15,82.03,79.92,84.13,1190.00,133.00,1057.00,88.24,82.90,93.57,89.47,73.40,105.55,88.08,82.42,93.74,64.79,60.22,69.36,61.65,48.31,75.00,65.18,60.32,70.05,79.16,74.10,84.21,69.92,55.71,84.14,80.32,74.92,85.72,738.00,67.00,671.00,65.99,60.13,71.85,73.13,52.66,93.61,65.28,59.16,71.39,8009.00,525.00,7484.00,,,,,,,,,,63.66,57.98,69.34,64.18,42.61,85.76,63.46,57.59,69.34
1008,AL-Atmore,2117.00,567.00,1550.00,88.69,84.66,92.72,86.35,78.75,93.95,87.47,82.82,92.11,391.00,121.00,270.00,76.21,67.56,84.87,79.34,63.47,95.21,74.81,64.50,85.13,53.71,46.44,60.97,56.20,42.84,69.56,52.59,43.94,61.24,73.40,64.91,81.89,76.86,61.24,92.48,71.85,61.74,81.96,182.00,50.00,132.00,64.29,52.64,75.93,70.00,46.81,93.19,62.12,48.68,75.57,2207.00,573.00,1634.00,,,,,,,,,,114.69,100.91,128.48,118.94,91.08,146.80,122.98,105.77,140.20
1010,AL-Bessemer,7387.00,1612.00,5775.00,81.94,79.86,84.02,73.92,69.71,78.13,82.86,80.51,85.21,1229.00,356.00,873.00,84.70,79.56,89.85,85.39,75.79,94.99,84.42,78.33,90.52,62.16,57.76,66.57,63.48,55.21,71.76,61.63,56.42,66.83,81.04,76.01,86.07,80.62,71.29,89.95,81.21,75.24,87.19,808.00,202.00,606.00,66.83,61.19,72.47,72.28,60.55,84.00,65.02,58.60,71.44,7949.00,1720.00,6229.00,,,,,,,,,,51.00,46.02,55.98,48.05,37.45,58.65,54.81,48.84,60.78
1011,AL-Birmingham,65763.00,11669.00,54094.00,80.24,79.55,80.93,72.09,70.54,73.63,81.11,80.36,81.87,8478.00,2305.00,6173.00,85.95,83.98,87.93,83.77,80.04,87.51,86.76,84.44,89.09,67.52,65.77,69.27,64.25,60.98,67.52,68.73,66.67,70.80,82.07,80.14,84.00,77.74,74.14,81.34,83.69,81.40,85.97,6401.00,1353.00,5048.00,65.91,63.92,67.90,66.89,62.53,71.25,65.65,63.41,67.88,71922.00,12601.00,59321.00,0.65,0.48,0.82,-2.53,-1.65,-3.40,0.44,0.27,0.61,45.75,44.20,47.30,48.91,44.97,52.85,46.77,45.03,48.52
