HSA Number,HSA Name,Medicare enrollees (2014),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2014),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2014)
1001,AL-Alabaster,14342,5.10,5.29
1002,AL-Alexander City,3575,5.45,5.74
1003,AL-Andalusia,4655,5.40,5.42
1004,AL-Anniston,16180,5.39,5.57
1006,AL-Ashland,2062,5.09,5.32
1007,AL-Athens,9738,5.22,5.25
1008,AL-Atmore,2562,6.51,6.63
1010,AL-Bessemer,14817,5.28,5.40
1011,AL-Birmingham,117877,4.72,4.73
1012,AL-Boaz,9531,5.45,5.61
1013,AL-Brewton,3942,5.21,5.31
1014,AL-Bridgeport,1405,6.08,6.25
1016,AL-Camden,1097,5.76,5.94
1017,AL-Carrollton,1977,5.02,5.02
1018,AL-Centre,4220,5.65,6.02
1019,AL-Centreville,1495,5.35,5.82
1022,AL-Cullman,14815,4.95,4.89
1023,AL-Dadeville,1807,3.96,4.12
1024,AL-Decatur,12034,4.85,4.90
1025,AL-Demopolis,2746,4.86,5.09
1026,AL-Dothan,29964,4.93,5.04
1027,AL-Elba,1421,5.58,5.31
1028,AL-Enterprise,5859,4.95,4.94
1029,AL-Eufaula,2837,5.43,5.95
1031,AL-Evergreen,1387,4.99,5.40
1032,AL-Fairhope,7502,4.42,4.78
1033,AL-Fayette,2467,5.15,5.30
1035,AL-Florala,771,5.41,5.57
1036,AL-Florence,16865,5.20,5.40
1037,AL-Foley,12950,4.20,4.14
1038,AL-Fort Payne,7485,5.60,5.87
1039,AL-Gadsden,16496,5.51,5.64
1040,AL-Geneva,2698,5.87,5.89
1044,AL-Greenville,3497,5.44,5.88
1045,AL-Grove Hill,1285,5.05,4.90
1046,AL-Guntersville,6236,5.34,5.44
1047,AL-Haleyville,3315,5.44,5.39
1048,AL-Hamilton,2362,5.28,4.95
1049,AL-Hartselle,5029,5.25,5.31
1051,AL-Huntsville,53738,4.63,4.71
1053,AL-Jacksonville,4886,5.42,5.53
1054,AL-Jasper,10072,5.64,5.66
1056,AL-Luverne,1557,5.52,5.00
1057,AL-Mobile,74948,5.00,5.07
1058,AL-Monroeville,3740,4.87,5.06
1059,AL-Montgomery,42858,4.88,4.72
