JOB_DAY,VOL,JOB_TIME
11-Aug-18,3250858,5.61
17-Feb-15,3165679,40.3
27-Jul-16,2770107,3.58
9-Oct-13,2744850,4.66
14-Sep-15,2652200,6.25
3-Jun-18,2593706,6.64
16-Jun-18,2569411,8.65
23-Jun-18,2404163,4.21
11-Jan-17,2354521,11.85
18-Sep-15,2347238,8.01
12-Jan-17,2296170,4.87
18-Jul-18,2206910,16.64
7-Jul-18,2155697,4.97
4-Aug-18,2074455,4.71
8-Jul-18,2066923,4.31
2-Jun-18,1879048,4.78
27-Jul-18,1815299,6.72
1-Aug-18,1767523,5.74
27-Jun-18,1759490,5.76
11-Jul-18,1684517,6.4
28-Jun-16,1654699,1.99
14-Aug-18,1636189,5.89
21-Jun-18,1633138,4.42
6-Jun-18,1618444,7.27
2-Aug-18,1603729,5.03
19-Jul-18,1591083,5.3
15-Aug-18,1567731,5.52
15-Aug-15,1451594,156.53
20-Jun-18,1426926,4.22
6-Jul-16,1367591,20.73
10-Jul-18,1367154,5.66
16-Aug-18,1308055,4.26
6-Oct-15,1286395,19.35
24-Jul-18,1276080,6.54
7-Aug-18,1255443,4.42
13-Jan-17,1244930,7.71
26-Jun-18,1188928,4.52
22-Aug-18,1181850,3.4
25-Oct-13,1167652,9.62
15-Sep-15,1165794,3.78
23-Aug-18,1165192,3.42
5-Jun-18,1160510,3.53
8-Aug-18,1144812,3.6
9-Aug-18,1131395,2.05
26-Jul-16,1123871,1.66
28-Jul-18,1121030,4.76
19-Jun-18,1110039,3.68
18-Aug-18,1109326,3.7
10-Jan-17,1109297,8.7
10-Aug-18,1103170,2.87
21-Jul-18,1102244,5.44
6-Jun-16,1093669,45.29
20-Jul-18,1093135,3.83
21-Aug-18,1089182,3.8
24-Aug-18,1077243,2.86
17-Aug-18,1062533,2.16
31-Jul-18,1047968,4.07
25-Aug-18,1047864,2.85
20-Jul-16,1046624,6.95
7-Jun-18,990029,2.24
19-Sep-13,967226,4.01
13-Jun-18,961494,2.16
17-May-17,928211,6.15
3-Aug-18,926791,1.97
13-Sep-15,914827,6.42
14-Jun-18,904940,1.98
8-Jun-18,903925,1.76
15-Jun-18,892758,1.76
4-Jul-18,881540,1.73
12-Jul-18,877977,1.88
25-Jul-18,872657,2.11
13-Jul-18,869722,1.89
3-Jul-18,868401,2.11
26-Jul-18,864361,1.66
29-Jun-18,860633,1.81
14-Jul-18,855620,2.22
6-Jul-18,855593,2.01
12-Jun-18,838972,1.46
17-Jul-18,820682,1.99
28-Jun-18,804521,1.46
24-Oct-13,801825,6.79
30-Jun-18,787957,2.32
25-Feb-17,768289,33.19
9-Jun-18,766044,1.89
25-Jun-18,690292,3.67
18-Jun-18,678270,4.03
18-May-17,665560,5.66
1-Jul-17,624754,35.57
4-Jun-18,620018,1.7
23-Sep-13,614068,2.07
10-Jul-13,561467,26.9
17-Sep-15,550298,8.73
5-Jul-18,544155,0.96
1-Jul-18,536230,0.96
2-Sep-15,518787,2.44
10-Jun-18,509166,0.95
26-Aug-18,505470,1.5
22-Jul-18,494804,1.66
15-Jul-18,494381,1.06
29-Jul-18,488702,2.66
19-Aug-18,488163,1
16-Jul-18,486386,1.11
5-Aug-18,483978,0.98
17-Jun-18,473193,1.09
13-Aug-18,465903,8.73
12-Aug-18,445774,0.9
9-Jul-18,441383,1.41
24-Jun-18,439151,1.3
20-Aug-18,438049,2.03
14-Aug-15,410585,14.97
6-Aug-18,400137,1.08
23-Jul-18,390825,1.45
16-Jan-17,381610,3.1
19-Jul-13,371706,1.61
19-Dec-13,369118,0.99
2-Jul-18,362206,0.89
23-Jan-17,355034,1.8
30-Jul-18,354556,1.16
16-Aug-15,352212,18.45
17-Aug-15,350847,17.21
20-Dec-13,348663,2.16
10-Sep-15,335979,1.44
11-Jun-18,335557,0.82
22-May-18,320439,7.4
17-Dec-13,314951,1.08
12-Feb-18,299504,10.32
12-Sep-15,293405,7.01
14-Jan-17,291903,43.89
23-Dec-13,284715,6.57
8-Aug-17,277690,4.89
16-Dec-13,263096,2.05
16-Jul-13,252705,6.33
16-Apr-17,249788,4.01
4-Mar-18,242397,3.95
20-Jan-17,242351,13.73
18-Dec-13,237671,1.76
16-Sep-17,233370,2.35
14-Jul-13,230862,1.4
5-Jun-16,229039,0.92
4-Mar-17,227173,4.28
2-Mar-18,227124,4.02
6-Feb-14,224903,1.79
4-Feb-14,224545,1.8
17-Oct-17,217427,6.42
4-Jan-16,213557,5.69
2-Oct-13,212824,1.02
3-Jun-17,203267,4.2
28-Feb-17,201357,4.31
3-Feb-14,198596,0.67
2-Feb-14,184722,1.3
28-May-16,182989,20.1
1-Mar-18,182326,4.49
21-Dec-13,179701,1.81
15-Sep-17,177535,16.3
29-May-18,175169,5.56
21-Nov-17,174123,9.68
5-Feb-14,173889,1.31
17-May-18,172663,4.68
15-Jul-13,172532,2.35
4-Jun-17,167382,3.57
11-May-14,163370,2.27
6-Mar-18,162712,3.13
14-Dec-13,162524,2.41
8-May-18,158991,1.96
22-Dec-13,158903,0.78
23-Dec-17,158451,6.95
31-Jan-18,157497,7.38
21-Oct-17,156115,6.65
16-Dec-17,154802,5.43
27-Jul-17,154583,6.94
4-Oct-15,153945,2.77
7-Feb-14,153755,1.8
25-Jan-16,149935,6.25
15-May-18,146890,7.87
7-Apr-18,146058,5.19
7-Jun-17,145741,8.35
8-Jan-18,145357,7.31
14-May-18,144768,8.38
22-Aug-15,141337,0.09
30-Aug-17,137936,12.1
26-Jan-16,135723,4.55
21-Mar-18,135551,2.85
30-Jan-18,134446,7.01
1-Mar-17,133858,8.25
1-Nov-17,131209,12.16
4-Aug-17,130581,3.51
15-Nov-17,129602,7.34
5-Mar-18,129338,2
30-May-18,128632,4.13
