"MAX_MERGE_END","TOTAL_SPARK_TIME","TOTAL_SPARK_MERGE_TIME","VOL"
"06/02/2018 09:16:27",1.2,0.75,13148
"06/02/2018 11:57:59",1.45,0.77,513962
"06/02/2018 19:32:08",2.02,3.28,306928
"06/03/2018 11:31:32",1.63,1.89,468832
"06/03/2018 22:36:22",1.89,5.16,278115
"06/04/2018 17:39:31",1.5,0.76,175236
"06/05/2018 19:03:59",2.04,2.05,191690
"06/07/2018 01:35:41",1.8,3.15,373310
"06/07/2018 18:27:12",1.69,1.31,169808
"06/08/2018 20:43:25",1.78,1.08,152380
"06/09/2018 18:09:21",1.78,1.03,132895
"06/10/2018 17:37:50",1.79,0.67,85406
"06/11/2018 17:34:59",1.63,0.61,59096
"06/12/2018 17:48:05",1.73,0.86,152149
"06/13/2018 18:16:33",1.86,1.15,167257
"06/14/2018 18:09:53",1.76,0.98,155520
"06/15/2018 17:59:56",1.71,0.91,154588
"06/16/2018 18:26:10",1.92,1.31,165086
"06/16/2018 21:18:27",2.21,1.96,855930
"06/17/2018 17:34:20",1.54,0.64,84282
"06/18/2018 20:31:01",1.56,0.75,61293
"06/18/2018 22:08:03",1.36,0.8,187009
"06/19/2018 18:45:28",1.78,1.67,204818
"06/20/2018 19:01:13",2.07,1.75,336448
"06/21/2018 19:03:45",1.99,1.84,458805
"06/23/2018 02:36:00",1.68,1.06,153563
"06/23/2018 19:44:17",1.99,1.71,410415
"06/24/2018 21:34:57",1.58,0.81,68174
"06/25/2018 17:57:04",1.64,0.82,217009
"06/26/2018 18:55:14",1.93,1.67,229721
"06/27/2018 20:04:47",2.48,2.55,357855
"06/28/2018 17:55:08",1.8,0.91,134280
"06/29/2018 17:53:14",1.73,0.87,159805
"06/30/2018 18:28:49",1.82,1.29,147742
"07/01/2018 17:41:21",1.65,0.7,121493
"07/02/2018 17:34:03",1.6,0.64,66605
"07/03/2018 18:38:39",1.98,1.29,150108
"07/04/2018 18:13:26",1.78,1.06,153093
"07/05/2018 17:42:29",1.66,0.69,92913
"07/06/2018 20:09:30",1.77,1.33,148977
