QUEUE_DATE,MAX_STEP_TIME,AVG_STEP_TIME
22-Aug-17,11.17,6.59
23-Aug-17,32.67,17.14
24-Aug-17,51.53,26.12
25-Aug-17,19.92,8.82
26-Aug-17,14.18,7.82
27-Aug-17,11.13,7.24
28-Aug-17,8.98,6.1
29-Aug-17,13.1,7
30-Aug-17,8.33,5.4
31-Aug-17,10.05,5.77
1-Sep-17,12.02,8.21
2-Sep-17,18.23,12.74
3-Sep-17,10.6,7.46
4-Sep-17,9.67,6
5-Sep-17,15.5,13.1
6-Sep-17,13.73,7.57
7-Sep-17,17.07,13.16
8-Sep-17,14.35,10.49
9-Sep-17,12.83,8.58
10-Sep-17,11.1,6.9
11-Sep-17,9.52,6.79
12-Sep-17,13.83,8.73
13-Sep-17,11.07,7.35
14-Sep-17,14.12,10.34
15-Sep-17,17.18,10.8
16-Sep-17,11.13,6.85
17-Sep-17,9.43,6.09
18-Sep-17,8.88,6.43
19-Sep-17,10.7,7.2
20-Sep-17,14.68,6.08
21-Sep-17,15.83,8.79
22-Sep-17,15.3,8.23
23-Sep-17,11.53,7.43
24-Sep-17,10.87,7.92
25-Sep-17,9.17,6.25
26-Sep-17,13.93,9.61
27-Sep-17,14.25,9.7
28-Sep-17,19.75,12.16
29-Sep-17,12.32,8.37
30-Sep-17,15.07,10.87
1-Oct-17,11.42,7.51
2-Oct-17,12.52,9.85
3-Oct-17,12.78,8.51
4-Oct-17,13.8,8.85
5-Oct-17,17.33,12.77
6-Oct-17,9.93,6.68
7-Oct-17,15.3,8.73
8-Oct-17,9.83,7.13
9-Oct-17,8.18,4.7
10-Oct-17,17.62,9.39
11-Oct-17,16.67,11.6
12-Oct-17,15.72,11.65
13-Oct-17,9.57,6.03
14-Oct-17,20.33,15.39
15-Oct-17,18.95,15.12
16-Oct-17,15.57,11.01
17-Oct-17,18.3,14.64
18-Oct-17,19.85,13.34
19-Oct-17,11.72,9.43
20-Oct-17,14.38,11.86
21-Oct-17,13.23,8.8
22-Oct-17,14.38,11.82
23-Oct-17,9.53,5.58
24-Oct-17,75.9,25.23
25-Oct-17,19.63,15.18
26-Oct-17,22.05,11.26
27-Oct-17,27.9,19.38
28-Oct-17,27.7,22.04
29-Oct-17,20.52,15.3
30-Oct-17,15.25,10.07
31-Oct-17,18.32,13.07
1-Nov-17,22.02,13.35
2-Nov-17,24.8,17.72
4-Nov-17,25.75,15.85
5-Nov-17,17.82,13.06
6-Nov-17,12.37,8.71
7-Nov-17,18.82,13.17
8-Nov-17,17.3,12.99
9-Nov-17,13.58,8.91
10-Nov-17,26.65,17.11
11-Nov-17,38.43,21.8
12-Nov-17,25.27,20.64
13-Nov-17,16.92,14.4
14-Nov-17,26.55,19.93
15-Nov-17,101.28,28
16-Nov-17,27.58,21.73
17-Nov-17,23.88,16.9
18-Nov-17,29.87,22.06
19-Nov-17,17.07,10.74
20-Nov-17,17.33,12.65
21-Nov-17,29.7,22.69
22-Nov-17,26.97,20.64
23-Nov-17,32.15,26.85
24-Nov-17,23.92,18.92
25-Nov-17,26.4,20.49
26-Nov-17,18.9,12.76
27-Nov-17,16.85,13.13
28-Nov-17,33.13,22.35
29-Nov-17,49.25,41.52
30-Nov-17,20.97,16.8
1-Dec-17,19.55,16.02
2-Dec-17,14.22,10.85
3-Dec-17,13.05,10.14
4-Dec-17,13.82,10.72
5-Dec-17,11.9,9.25
6-Dec-17,24.68,19.23
7-Dec-17,34.65,28.8
8-Dec-17,17.2,14.15
9-Dec-17,99,34.25
10-Dec-17,225.1,75.87
11-Dec-17,18.28,15.6
12-Dec-17,20.9,17.42
13-Dec-17,22.17,17.63
14-Dec-17,20.67,15.46
15-Dec-17,19.47,16.1
16-Dec-17,20.6,15.25
17-Dec-17,10.67,7.63
18-Dec-17,28.07,14.3
19-Dec-17,17.37,14.43
20-Dec-17,13.2,10.46
21-Dec-17,16.92,6.67
22-Dec-17,15.33,11.84
23-Dec-17,21.47,16.72
24-Dec-17,39.78,20.13
25-Dec-17,15.03,11.05
26-Dec-17,15.43,11.2
27-Dec-17,12.58,9.01
28-Dec-17,14.27,8.93
29-Dec-17,15.88,11.34
30-Dec-17,16.65,12.18
31-Dec-17,14.6,10.18
