"QUEUE_DATE","MAX_STEP_TIME","AVG_STEP_TIME"
02-JUN-18,174.35,72.36
03-JUN-18,46.77,13.06
04-JUN-18,7.48,2.34
05-JUN-18,9.27,3
06-JUN-18,23.08,5.7
07-JUN-18,19.15,16.03
08-JUN-18,15.43,11.24
09-JUN-18,15.6,12.75
10-JUN-18,11.72,10.45
11-JUN-18,9.57,8.31
12-JUN-18,9.88,5.2
13-JUN-18,16.72,13.7
14-JUN-18,14.97,12.22
15-JUN-18,12.42,8.8
16-JUN-18,69.52,20.36
17-JUN-18,9.9,8.06
18-JUN-18,18.85,10.26
19-JUN-18,21.05,14.06
20-JUN-18,25.05,17.64
21-JUN-18,24.72,16.54
23-JUN-18,27.53,7.82
24-JUN-18,8.33,4.93
25-JUN-18,20.87,14.54
26-JUN-18,29.35,21.51
27-JUN-18,43.42,29.33
28-JUN-18,14.8,12.91
29-JUN-18,14.83,12.67
30-JUN-18,15.82,13.64
01-JUL-18,12.82,10.99
02-JUL-18,10.38,9.63
03-JUL-18,14.32,12.09
04-JUL-18,16.02,13.83
05-JUL-18,11.42,10.53
06-JUL-18,22.28,19.71
07-JUL-18,36.17,7.03
08-JUL-18,46.67,20.17
09-JUL-18,15.73,13.54
10-JUL-18,36.33,26.62
11-JUL-18,44.17,31.19
12-JUL-18,15.67,13.64
13-JUL-18,12.3,9.49
14-JUL-18,14.98,12.34
15-JUL-18,11.1,9.78
16-JUL-18,10.67,9.43
17-JUL-18,15.57,7.99
18-JUL-18,38.3,21.37
19-JUL-18,28.28,23.72
20-JUL-18,30.72,26.56
21-JUL-18,31.53,24.74
22-JUL-18,15.8,14.45
23-JUL-18,15.37,13.72
24-JUL-18,32.5,23.07
25-JUL-18,15.93,13.57
26-JUL-18,14.52,12.41
27-JUL-18,92.62,43.54
28-JUL-18,21.7,5.85
29-JUL-18,5.18,4.04
30-JUL-18,3.55,2.25
31-JUL-18,18.33,11.28
01-AUG-18,44.28,15.08
02-AUG-18,27.82,4.61
03-AUG-18,12.95,9.68
04-AUG-18,31.18,7.47
05-AUG-18,4,2.46
06-AUG-18,14.07,11.35
